lat,lon,first_crossing_year
-90.0,228.75,2041.0
-90.0,230.0,2041.0
-90.0,231.25,2041.0
-90.0,232.5,2041.0
-90.0,233.75,2041.0
-90.0,235.0,2041.0
-90.0,236.25,2041.0
-90.0,237.5,2041.0
-90.0,238.75,2041.0
-90.0,240.0,2041.0
-90.0,241.25,2041.0
-90.0,242.5,2041.0
-90.0,243.75,2041.0
-90.0,245.0,2041.0
-90.0,246.25,2041.0
-90.0,247.5,2041.0
-90.0,248.75,2041.0
-90.0,250.0,2041.0
-90.0,251.25,2041.0
-90.0,252.5,2041.0
-90.0,253.75,2041.0
-90.0,255.0,2041.0
-90.0,256.25,2041.0
-90.0,257.5,2041.0
-90.0,258.75,2041.0
-90.0,260.0,2041.0
-90.0,261.25,2041.0
-90.0,262.5,2041.0
-90.0,263.75,2041.0
-90.0,265.0,2041.0
-90.0,266.25,2041.0
-90.0,267.5,2041.0
-90.0,268.75,2041.0
-90.0,270.0,2041.0
-90.0,271.25,2041.0
-90.0,272.5,2041.0
-90.0,273.75,2041.0
-90.0,275.0,2041.0
-90.0,276.25,2041.0
-90.0,277.5,2041.0
-90.0,278.75,2041.0
-90.0,280.0,2041.0
-90.0,281.25,2041.0
-90.0,282.5,2041.0
-90.0,283.75,2041.0
-90.0,285.0,2041.0
-90.0,286.25,2041.0
-90.0,287.5,2041.0
-90.0,288.75,2041.0
-90.0,290.0,2041.0
-90.0,291.25,2041.0
-90.0,292.5,2041.0
-90.0,293.75,2041.0
-90.0,295.0,2041.0
-90.0,296.25,2041.0
-90.0,297.5,2041.0
-90.0,298.75,2041.0
-90.0,300.0,2041.0
-90.0,301.25,2041.0
-90.0,302.5,2041.0
-90.0,303.75,2041.0
-90.0,305.0,2041.0
-90.0,306.25,2041.0
-90.0,307.5,2041.0
-90.0,308.75,2041.0
-90.0,310.0,2041.0
-90.0,311.25,2041.0
-90.0,312.5,2041.0
-90.0,313.75,2041.0
-90.0,315.0,2041.0
-90.0,316.25,2041.0
-90.0,317.5,2041.0
-90.0,318.75,2041.0
-90.0,320.0,2041.0
-90.0,321.25,2041.0
-90.0,322.5,2041.0
-90.0,323.75,2041.0
-90.0,325.0,2041.0
-90.0,326.25,2041.0
-90.0,327.5,2041.0
-90.0,328.75,2041.0
-90.0,330.0,2041.0
-90.0,331.25,2041.0
-90.0,332.5,2041.0
-90.0,333.75,2041.0
-90.0,335.0,2041.0
-90.0,336.25,2041.0
-90.0,337.5,2041.0
-90.0,338.75,2041.0
-90.0,340.0,2041.0
-90.0,341.25,2041.0
-90.0,342.5,2041.0
-90.0,343.75,2041.0
-90.0,345.0,2041.0
-90.0,346.25,2041.0
-90.0,347.5,2041.0
-90.0,348.75,2041.0
-90.0,350.0,2041.0
-90.0,351.25,2041.0
-90.0,352.5,2041.0
-90.0,353.75,2041.0
-90.0,355.0,2041.0
-90.0,356.25,2041.0
-90.0,357.5,2041.0
-90.0,358.75,2041.0
-89.05759162303664,0.0,2041.0
-89.05759162303664,1.25,2041.0
-89.05759162303664,2.5,2041.0
-89.05759162303664,3.75,2041.0
-89.05759162303664,5.0,2041.0
-89.05759162303664,6.25,2041.0
-89.05759162303664,7.5,2041.0
-89.05759162303664,8.75,2041.0
-89.05759162303664,10.0,2041.0
-89.05759162303664,11.25,2041.0
-89.05759162303664,12.5,2041.0
-89.05759162303664,13.75,2041.0
-89.05759162303664,15.0,2041.0
-89.05759162303664,16.25,2041.0
-89.05759162303664,17.5,2041.0
-89.05759162303664,18.75,2041.0
-89.05759162303664,20.0,2041.0
-89.05759162303664,21.25,2041.0
-89.05759162303664,22.5,2041.0
-89.05759162303664,23.75,2041.0
-89.05759162303664,25.0,2041.0
-89.05759162303664,26.25,2041.0
-89.05759162303664,27.5,2041.0
-89.05759162303664,28.75,2041.0
-89.05759162303664,30.0,2041.0
-89.05759162303664,31.25,2041.0
-89.05759162303664,32.5,2041.0
-89.05759162303664,33.75,2041.0
-89.05759162303664,35.0,2041.0
-89.05759162303664,36.25,2041.0
-89.05759162303664,37.5,2041.0
-89.05759162303664,38.75,2041.0
-89.05759162303664,40.0,2041.0
-89.05759162303664,41.25,2041.0
-89.05759162303664,42.5,2041.0
-89.05759162303664,43.75,2041.0
-89.05759162303664,45.0,2041.0
-89.05759162303664,46.25,2041.0
-89.05759162303664,47.5,2041.0
-89.05759162303664,48.75,2041.0
-89.05759162303664,50.0,2041.0
-89.05759162303664,51.25,2041.0
-89.05759162303664,52.5,2041.0
-89.05759162303664,53.75,2041.0
-89.05759162303664,55.0,2041.0
-89.05759162303664,56.25,2041.0
-89.05759162303664,57.5,2041.0
-89.05759162303664,58.75,2041.0
-89.05759162303664,60.0,2041.0
-89.05759162303664,61.25,2041.0
-89.05759162303664,62.5,2041.0
-89.05759162303664,63.75,2041.0
-89.05759162303664,65.0,2041.0
-89.05759162303664,66.25,2041.0
-89.05759162303664,67.5,2041.0
-89.05759162303664,68.75,2041.0
-89.05759162303664,70.0,2041.0
-89.05759162303664,71.25,2041.0
-89.05759162303664,72.5,2041.0
-89.05759162303664,73.75,2041.0
-89.05759162303664,75.0,2041.0
-89.05759162303664,76.25,2041.0
-89.05759162303664,77.5,2041.0
-89.05759162303664,78.75,2041.0
-89.05759162303664,80.0,2041.0
-89.05759162303664,81.25,2041.0
-89.05759162303664,82.5,2041.0
-89.05759162303664,83.75,2041.0
-89.05759162303664,85.0,2041.0
-89.05759162303664,86.25,2041.0
-89.05759162303664,87.5,2041.0
-89.05759162303664,88.75,2041.0
-89.05759162303664,90.0,2041.0
-89.05759162303664,91.25,2041.0
-89.05759162303664,92.5,2041.0
-89.05759162303664,93.75,2041.0
-89.05759162303664,95.0,2041.0
-89.05759162303664,96.25,2041.0
-89.05759162303664,97.5,2041.0
-89.05759162303664,98.75,2041.0
-89.05759162303664,100.0,2041.0
-89.05759162303664,101.25,2041.0
-89.05759162303664,102.5,2041.0
-89.05759162303664,103.75,2041.0
-89.05759162303664,105.0,2041.0
-89.05759162303664,106.25,2041.0
-89.05759162303664,107.5,2041.0
-89.05759162303664,108.75,2041.0
-89.05759162303664,110.0,2041.0
-89.05759162303664,111.25,2041.0
-89.05759162303664,112.5,2041.0
-89.05759162303664,113.75,2041.0
-89.05759162303664,115.0,2041.0
-89.05759162303664,116.25,2041.0
-89.05759162303664,117.5,2041.0
-89.05759162303664,118.75,2041.0
-89.05759162303664,120.0,2041.0
-89.05759162303664,121.25,2041.0
-89.05759162303664,122.5,2041.0
-89.05759162303664,123.75,2041.0
-89.05759162303664,125.0,2041.0
